tag,adj
巧克力不错,
汤头,"不行,浓郁"
料味道,不错
华夫饼不错,
商家,还可以
包子,不错
风景,好
包房不错,
芒果,甜
榴莲,好吃
学校,近
东西,"难吃,好吃,好看,不多,多,不错,鲜,浓郁,嫩,足,新鲜,美味,香,精致,赞"
新品不错,
海鲜,"新鲜,鲜"
空气,清新
辣味不错,
服务,还不错
牛腩,不错
整体不错,
样子,好看
鹅肝不错,
店内设施,完善
名字,不错
营养价值,高
沙拉,好吃
总体感觉,不错
用料,"实在,新鲜"
总体印象,"还行,一般"
顾客,少
辣味,适中
老板一般,
氛围不错,
烤鱼,香
凉粉,不好吃
活动不错,
性价比,"一般,高,低"
咖啡不错,
卖相,不错
营业面积,不大
打车,方便
口味不错,
口碑,不错
刺身不错,
鳌虾,新鲜
无敌,好吃
牛杂,还可以
信号,不好
鸡排不错,
总体不错,
菜花不错,
团购,值
虾仁,"好吃,新鲜"
好评多,
量,"很多,不大,足,少,大,不小"
感觉,"卫生,可爱,不错,舒适,舒服,棒,给力,实在,一般,棒棒,不新鲜,开心,值,好"
鸭子,不错
高端,大气
性价比高,
银耳汤不错,
菜单,"一般,简单"
肉质,细腻
美食不错,
汤汁,"多,不错,鲜美,鲜"
体验,不错
份量,"足,小,份量一般"
美女服务态度,好
口感,"硬,不错,一般,还行"
服务态度,"差,服务态度不错,一般,好,挺好"
食材,新鲜
韭菜不错,
菜心,不错
代金券不划算,
配菜,"多,还好,好吃"
猪颈肉,好吃
餐厅,"小,宽敞,大"
海鲜不错,
炖蛋不错,
选择,不错
牛舌,嫩
品种,"丰富,单一"
小笼,不错
腥味一般,
味道,"正宗,确实,不够甜,不错,不足,辣,差劲,嫩,足,甜,一般,赞,大,棒棒,味道不错,咸,还行,味道一般"
一道菜,好吃
好吃,不贵
大众点评不错,
上菜速度,"一般,快"
烤鸭,不错
蔬菜不错,
螃蟹不错,
汤料,足
烤牛肉,一般
逛街不错,
速度,"慢,一般,快"
榴莲不错,
生菜一般,
面条,筋道
羊汤,不错
品质不错,
食客,还可以
创意,不错
店家,挺好
总体,"还可以,不错,一般,棒"
店面,"不行,差,店面不错,不错,干净"
特色,多
孩子,多
刺身,新鲜
烧烤味道,不错
业务一般,
招牌菜不错,
餐厅不错,
配菜不错,
方面,不错
青菜一般,
视野,不错
柠檬,不错
价格便宜,
小吃,不错
卖家不错,
水平,一般
品质,高
地段,好
在,"巷子,一般"
豆腐不错,
滋味,还不错
食物,精致
验证,快
菜,"咸,好吃"
芝士不错,
汤,不错
价位,合理
入味,很好
菜品,"清淡,不错,一般,新鲜"
生意,"不错,火爆"
格局,不错
肉,"嫩,多,新鲜"
奶茶,不错
肉类,少
鸡肉,"不多,嫩"
羊肉不错,
葱,香
整体一般,
海胆不错,
虾,"嫩,大,好吃,好,新鲜"
消费,不低
扇贝,大
蛋糕,"不错,软"
酱汁,不错
金枪鱼不错,
位置不错,
面包不错,
服务人员,"服务人员不错,冷淡,热情,服务人员一般"
吃着,不错
酱,"地道,赞"
位子,好
地方,"方便,好找"
咸菜,不错
饮料不错,
店里环境,挺好
出品好,
环境,"方便,不大,不错,环境不错,环境一般,一般,差"
椅子不错,
啤酒不错,
原料新鲜,
店内环境,不错
上餐快,
番茄不错,
自助餐,不错
炒饭,不错
奶油不错,
代金券划算,
芋圆不错,
腥味,不大
喝,"很好,不很好,不错"
灯光一般,
拌饭,不错
装潢,不错
饺子,大
菜品味道,好
代金券,划算
蔬菜,新鲜
汤汁不错,
鸡尾酒不错,
价格,"贵,低,合理,价格昂贵,实惠,小,一般,价格合理,还行"
劲道好吃,
骨头,不行
餐饮不错,
印象一般,
蒸饺,不错
拉花,漂亮
基围虾不错,
牛排不错,
同学,小聚
羊肚,不错
团购价格,便宜
面筋不错,
服务员,
入口,"香,不错"
流量,"大,不大"
火候不错,
市,合适
豆腐,"嫩,不错"
味道一般,
芝士,"还可以,浓郁"
鸡排,大
料,丰富
送餐,及时
水饺不错,
套餐一般,
鸭子一般,
蘸酱不错,
鲍鱼,新鲜
座位,好
酱料,咸
盘子,大
肉肉,多
肉块大,
大骨头,不很好
蛋,赞
摆盘,好看
馅儿不错,
体验不错,
手艺,不错
腐竹,还可以
劲道,好吃
牛肉面,好吃
蛋糕不错,
酸酸,"甜甜,辣辣"
小店不错,
造型,可爱
小肠,一般
装修,"还行,漂亮"
朋友,开心
口味,"清淡,不多,重"
搭配,合理
还会,再去
态度,"差,不算好,不错,好"
面包一般,
味道不错,
交通,方便
用料不错,
口感不错,
佐料,还不错
羊肉,"香,不错,新鲜"
萝卜不错,
味儿,不错
鱼皮不错,
米线不错,
冬瓜一般,
锅底,不错
老板不错,
榴莲味道,浓郁
鸡汤,一般
算是这边,好吃
位置,"方便,醒目,好找,挺好"
评价,不错
虾子,大
咖喱,好吃
米饭,不够软
牛肉,"嫩,一般,咸,好吃"
排骨,不错
菜品一般,
服务不错,
地方不错,
造型不错,
超級,好吃
火锅,不错
沙拉不错,
环境不错,
实惠,大
生蚝,新鲜
店长不错,
菠萝饭,好吃
肉块,大
锅,好吃
餐具,不干净
